Tstamp,m2,m3,m4,m5,m6,m7,Voltage_R_Phase,Voltage_Y_Phase,Voltage_B_Phase,Average_Voltage,Voltage_R_Y,Voltage_Y_B,Voltage_B_R,Line_To_Line_Voltage_Average,Current_R,Current_Y,Current_B,Current_N,Average_Current,Frequency_R,Frequency_Y,Frequency_B,Average_Frequency,Power_Factor_R,Power_Factor_Y,Power_Factor_B,Average_Power_Factor,Active_Power_R,Active_Power_Y,Active_Power_B,Total_Power,Reactive_Power_R,Reactive_Power_Y,Reactive_Power_B,Total_Reactive_Power,Total_Apparent_Power,Active_Energy,Reactive_Energy,Apparent_Power_R,Apparent_Power_Y,Apparent_Power_B,Reactive_Energy2,Maximum_Active_Power,Minimum_Active_Power,Maximum_Reactive_Power,Minimum_Reactive_Power,Maximum_Apparent_Power,Wh_Received,VAh_Received,VARh_Inductive_Received,VARh_Capacitive_Received,Energy_Export1,VAh_Delivered,VARh_Ind_Delivered,VARh_Cap_Delivered,THD,Active_Total_Import,Active_Total_Export,Apparent_Import,Aparent_Export,Energy_Today,m1,Energy_Import,Energy_Export,m66,Total_KW_Avg
2018-12-01 00:00:00,CT08,2018-12-01 00:00:36,0.0,12.0,1.0,,248.7143707,246.9277344,248.0350952,247.8924001,429.8498535,427.5862427,430.647522,429.3612061,0.3763277,0.0,0.0,,0.1254426,,,,50.1135445,,,,1.316095,-0.047665,-0.0228121,-0.005033,-0.0755101,,,,0.0805522,0.1104103,,,,,,,,,,,,,,,,,,,,,,,,,,,646558.0,2419520876.0,4.0,
2018-12-01 00:05:00,CT08,2018-12-01 00:04:35,0.0,12.0,1.0,,248.7659861,246.6573741,248.2041372,247.8758325,429.5497131,427.4880778,430.9603984,429.3327298,0.3735334,0.0,0.0,,0.1245111,,,,50.1058553,,,,1.312063,-0.0476209,-0.021699,-0.0063138,-0.0756338,,,,0.0797917,0.1099426,,,,,,,,,,,,,,,,,,,,,,,,,,,646561.0,2419520876.0,4.0,
2018-12-01 00:10:00,CT08,2018-12-01 00:10:46,0.0,12.0,1.0,,248.8146172,246.6515961,248.1232719,247.8631617,429.6199112,427.2447968,431.0670624,429.3105901,0.3701372,0.0,0.0,,0.1233791,,,,50.0018082,,,,1.3091263,-0.0474895,-0.0211447,-0.0067679,-0.0754021,,,,0.0789075,0.1091482,,,,,,,,,,,,,,,,,,,,,,,,,,,646567.75,2419520876.0,4.0,
2018-12-01 00:15:00,CT08,2018-12-01 00:14:46,0.0,12.0,1.0,,248.5517375,246.2585704,247.8774007,247.5625695,429.0379435,426.7451782,430.5875142,428.790212,0.3688607,0.0,0.0,,0.1229536,,,,49.9637451,,,,1.3172213,-0.0467007,-0.0200935,-0.0069274,-0.0737215,,,,0.078895,0.1079809,,,,,,,,,,,,,,,,,,,,,,,,,,,646573.6666667,2419520876.0,4.0,
2018-12-01 00:20:00,CT08,2018-12-01 00:20:06,0.0,12.0,1.0,,248.2571526,246.2455711,247.6940269,247.3989169,428.8115997,426.7123032,429.9960327,428.5066452,0.3702431,0.0,0.0,,0.1234144,,,,50.0439177,,,,1.3114353,-0.0467449,-0.022203,-0.0061953,-0.0751433,,,,0.0791374,0.1091311,,,,,,,,,,,,,,,,,,,,,,,,,,,646579.5,2419520876.0,4.0,
2018-12-01 00:25:00,CT08,2018-12-01 00:25:25,0.0,12.0,1.0,,248.5180283,246.5830116,247.8380775,247.6463725,429.3773956,427.1261292,430.302475,428.9353333,0.3726,0.0,0.0,,0.1242,,,,50.0604439,,,,1.318649,-0.0468473,-0.0219744,-0.0055354,-0.0743571,,,,0.0798723,0.1091306,,,,,,,,,,,,,,,,,,,,,,,,,,,646586.0,2419520876.0,4.0,
2018-12-01 00:30:00,CT08,2018-12-01 00:30:44,0.0,12.0,1.0,,248.7856216,247.1672287,248.1568146,248.036555,430.1791687,427.9030609,430.7499161,429.6107152,0.3712454,0.0,0.0,,0.1237485,,,,50.0120831,,,,1.3164075,-0.0464159,-0.0224126,-0.005958,-0.0747864,,,,0.07985,0.1094037,,,,,,,,,,,,,,,,,,,,,,,,,,,646592.5,2419520876.0,4.0,
2018-12-01 00:35:00,CT08,2018-12-01 00:34:43,0.0,12.0,1.0,,249.0342,247.3483276,248.3027242,248.2284173,430.5098979,428.1586812,431.160614,429.9430644,0.3728903,0.0,0.0,,0.1242968,,,,50.0038033,,,,1.3256033,-0.0469613,-0.0208995,-0.0053054,-0.0731663,,,,0.0801122,0.1085004,,,,,,,,,,,,,,,,,,,,,,,,,,,646598.3333333,2419520876.0,4.0,
2018-12-01 00:40:00,CT08,2018-12-01 00:40:03,0.0,12.0,1.0,,248.7972221,246.75037,248.0346413,247.8607445,429.7965088,427.341095,430.7820892,429.3065643,0.3751747,0.0,0.0,,0.1250582,,,,50.0075779,,,,1.319829,-0.0475121,-0.021612,-0.0054215,-0.0745456,,,,0.0803438,0.1096014,,,,,,,,,,,,,,,,,,,,,,,,,,,646604.25,2419520876.0,4.0,
2018-12-01 00:45:00,CT08,2018-12-01 00:45:22,0.0,12.0,1.0,,248.7364731,246.6805954,247.9839516,247.80034,429.6770325,427.2720184,430.6570511,429.202034,0.3755458,0.0,0.0,,0.1251819,,,,49.9963331,,,,1.3229447,-0.0469126,-0.0212577,-0.0061452,-0.0743154,,,,0.0807749,0.1097609,,,,,,,,,,,,,,,,,,,,,,,,,,,646610.75,2419520876.0,4.0,
2018-12-01 00:50:00,CT08,2018-12-01 00:50:13,0.0,12.0,1.0,,249.0500437,247.1424459,248.3975728,248.1966875,430.300059,428.04776,431.3175456,429.8884549,0.3698532,0.0,0.0,,0.1232844,,,,49.9848874,,,,1.3121613,-0.0464549,-0.0214724,-0.0074428,-0.0753701,,,,0.0795399,0.1095781,,,,,,,,,,,,,,,,,,,,,,,,,,,646617.6666667,2419520876.0,4.0,
2018-12-01 00:55:00,CT08,2018-12-01 00:55:33,0.0,12.0,1.0,,248.9288139,247.1056709,248.2545471,248.096344,430.1930695,427.9053497,431.0447311,429.7143834,0.3700316,0.0,0.0,,0.1233439,,,,49.9311152,,,,1.3145503,-0.0465975,-0.0220197,-0.0061895,-0.0748067,,,,0.0794515,0.1091306,,,,,,,,,,,,,,,,,,,,,,,,,,,646623.5,2419520876.0,4.0,
2018-12-01 01:00:00,CT08,2018-12-01 01:00:52,0.0,12.0,1.0,,248.4116592,246.3531723,247.75774,247.5075239,428.9910507,426.7830582,430.3098373,428.6946487,0.3689515,0.0,0.0,,0.1229838,,,,49.9532661,,,,1.3131422,-0.047125,-0.0211863,-0.0060057,-0.0743171,,,,0.0786047,0.1081872,,,,,,,,,,,,,,,,,,,,,,,,,,,646630.25,2419520876.0,4.0,
2018-12-01 01:05:00,CT08,2018-12-01 01:04:52,0.0,12.0,1.0,,248.66008,246.662384,247.9671783,247.7632141,429.5279643,427.1977946,430.6862081,429.1373223,0.3728314,0.0,0.0,,0.1242771,,,,49.9507001,,,,1.3162633,-0.0474048,-0.0215431,-0.0057018,-0.0746497,,,,0.0796716,0.1091803,,,,,,,,,,,,,,,,,,,,,,,,,,,646635.6666667,2419520876.0,4.0,
2018-12-01 01:10:00,CT08,2018-12-01 01:10:11,0.0,12.0,1.0,,248.2239342,246.2030602,247.53825,247.3217481,428.7619171,426.4605713,429.896431,428.3729731,0.3729297,0.0,0.0,,0.1243099,,,,49.9321785,,,,1.313925,-0.0473382,-0.0210708,-0.0066111,-0.0750202,,,,0.0795502,0.1093466,,,,,,,,,,,,,,,,,,,,,,,,,,,646641.5,2419520876.0,4.0,
2018-12-01 01:15:00,CT08,2018-12-01 01:15:30,0.0,12.0,1.0,,247.928875,245.8331833,247.2450256,247.0023613,428.2308807,425.9262085,429.3025742,427.8198878,0.3689579,0.0,0.0,,0.122986,,,,49.9189072,,,,1.3128367,-0.0464726,-0.0214695,-0.0065792,-0.0745213,,,,0.0787873,0.108448,,,,,,,,,,,,,,,,,,,,,,,,,,,646648.25,2419520876.0,4.0,
2018-12-01 01:20:00,CT08,2018-12-01 01:20:49,0.0,12.0,1.0,,248.6012306,246.512207,247.8577538,247.6570638,429.380394,426.978096,430.5025787,428.9536896,0.3749886,0.0,0.0,,0.1249962,,,,49.9462652,,,,1.3226355,-0.0469315,-0.0210305,-0.0062137,-0.0741757,,,,0.080545,0.1095024,,,,,,,,,,,,,,,,,,,,,,,,,,,646654.75,2419520876.0,4.0,
2018-12-01 01:25:00,CT08,2018-12-01 01:24:48,0.0,12.0,1.0,,248.3313293,246.1094818,247.7295125,247.3901079,428.6657613,426.4932454,430.3154704,428.4914924,0.3731474,0.0,0.0,,0.1243825,,,,49.8717092,,,,1.3150707,-0.0470847,-0.0209818,-0.0069577,-0.0750242,,,,0.0798095,0.1095363,,,,,,,,,,,,,,,,,,,,,,,,,,,646660.6666667,2419520876.0,4.0,
2018-12-01 01:30:00,CT08,2018-12-01 01:29:40,0.0,12.0,1.0,,248.9114889,247.1446431,248.2816518,248.1125946,430.2169189,427.9563497,431.0545654,429.7426114,0.3717337,0.0,0.0,,0.1239112,,,,49.9269485,,,,1.3240947,-0.0462277,-0.0212579,-0.006024,-0.0735096,,,,0.0801512,0.1087563,,,,,,,,,,,,,,,,,,,,,,,,,,,646666.3333333,2419520876.0,4.0,
2018-12-01 01:35:00,CT08,2018-12-01 01:34:59,0.0,12.0,1.0,,248.8941193,247.0773265,248.2377014,248.0697157,430.1380005,427.8246358,431.0415649,429.6680671,0.3755648,0.0,0.0,,0.1251883,,,,49.9739914,,,,1.3204164,-0.0470625,-0.0217187,-0.0060374,-0.0748185,,,,0.0807623,0.1100965,,,,,,,,,,,,,,,,,,,,,,,,,,,646672.3333333,2419520876.0,4.0,
2018-12-01 01:40:00,CT08,2018-12-01 01:40:18,0.0,12.0,1.0,,248.6536674,246.804863,248.0421753,247.8335686,429.6997375,427.5307159,430.5484009,429.2596181,0.3730268,0.0,0.0,,0.1243423,,,,49.9490414,,,,1.3199022,-0.0464964,-0.0224865,-0.0054761,-0.074459,,,,0.0802588,0.1094802,,,,,,,,,,,,,,,,,,,,,,,,,,,646678.75,2419520876.0,4.0,
2018-12-01 01:45:00,CT08,2018-12-01 01:45:38,0.0,12.0,1.0,,249.0289078,246.990696,248.3080482,248.1092173,430.1477737,427.7901917,431.2729416,429.736969,0.3677647,0.0,0.0,,0.1225882,,,,49.9248667,,,,1.3113357,-0.046669,-0.0214274,-0.0067534,-0.0748497,,,,0.0787965,0.1086889,,,,,,,,,,,,,,,,,,,,,,,,,,,646685.5,2419520876.0,4.0,
2018-12-01 01:50:00,CT08,2018-12-01 01:50:57,0.0,12.0,1.0,,248.6958237,246.7441902,247.9882812,247.8094317,429.6516495,427.3093872,430.6914368,429.2174911,0.3646158,0.0,0.0,,0.1215386,,,,49.9336767,,,,1.306725,-0.0466278,-0.0214024,-0.0067867,-0.0748169,,,,0.0777713,0.1079197,,,,,,,,,,,,,,,,,,,,,,,,,,,646692.25,2419520876.0,4.0,
