Tstamp,m2,m3,m4,m5,m6,m7,Voltage_R_Phase,Voltage_Y_Phase,Voltage_B_Phase,Average_Voltage,Voltage_R_Y,Voltage_Y_B,Voltage_B_R,Line_To_Line_Voltage_Average,Current_R,Current_Y,Current_B,Current_N,Average_Current,Frequency_R,Frequency_Y,Frequency_B,Average_Frequency,Power_Factor_R,Power_Factor_Y,Power_Factor_B,Average_Power_Factor,Active_Power_R,Active_Power_Y,Active_Power_B,Total_Power,Reactive_Power_R,Reactive_Power_Y,Reactive_Power_B,Total_Reactive_Power,Total_Apparent_Power,Active_Energy,Reactive_Energy,Apparent_Power_R,Apparent_Power_Y,Apparent_Power_B,Reactive_Energy2,Maximum_Active_Power,Minimum_Active_Power,Maximum_Reactive_Power,Minimum_Reactive_Power,Maximum_Apparent_Power,Wh_Received,VAh_Received,VARh_Inductive_Received,VARh_Capacitive_Received,Energy_Export1,VAh_Delivered,VARh_Ind_Delivered,VARh_Cap_Delivered,THD,Active_Total_Import,Active_Total_Export,Apparent_Import,Aparent_Export,Energy_Today,m1,Energy_Import,Energy_Export,m66,Total_KW_Avg
2019-01-01 00:00:00,CT08,2019-01-01 00:00:58,0.0,12.0,1.0,,250.5525208,248.4290924,249.7134399,249.5650177,432.8291016,430.3579712,433.5881653,432.2584127,0.3624131,0.0,0.0,,0.1208044,,,,50.1713028,,,,1.305845,,,,-0.0746251,,,,0.0773847,0.1075049,,,,,,,,,,,,,,,,,,,,,,,,,,,683344.0,2548932494.0,4.0,
2019-01-01 00:05:00,CT08,2019-01-01 00:04:58,0.0,12.0,1.0,,250.2397308,248.3025513,249.456014,249.3327654,432.4947713,430.1173197,432.9557088,431.8559333,0.3625301,0.0,0.0,,0.1208434,,,,50.073185,,,,1.308116,-0.0472319,-0.0206261,-0.0063872,-0.0742452,,,,0.0774519,0.1072946,,,,,,,,,,,,,,,,,,,,,,,,,,,683346.6666667,2548932494.0,4.0,
2019-01-01 00:10:00,CT08,2019-01-01 00:10:18,0.0,12.0,1.0,,249.8346825,247.9132423,249.1213608,248.9564285,431.7809677,429.510498,432.3210754,431.2041804,0.3625489,0.0,0.0,,0.1208496,,,,49.9445524,,,,1.3092774,-0.0466073,-0.0209869,-0.0065956,-0.0741898,,,,0.0776644,0.1074063,,,,,,,,,,,,,,,,,,,,,,,,,,,683352.5,2548932494.0,4.0,
2019-01-01 00:15:00,CT08,2019-01-01 00:15:10,0.0,12.0,1.0,,250.0495962,247.9094137,249.2342478,249.0644192,431.9035034,429.4780579,432.7928874,431.3914829,0.358651,0.0,0.0,,0.1195503,,,,49.9220695,,,,1.302028,-0.047242,-0.0200614,-0.0070018,-0.0743052,,,,0.0762273,0.1064535,,,,,,,,,,,,,,,,,,,,,,,,,,,683359.0,2548932494.0,4.0,
2019-01-01 00:20:00,CT08,2019-01-01 00:20:29,0.0,12.0,1.0,,250.138855,248.0881195,249.3520889,249.1930211,432.1576385,429.8044281,432.8797073,431.6139247,0.3624927,0.0,0.0,,0.1208309,,,,49.9439831,,,,1.3076135,-0.0472522,-0.0198754,-0.0071322,-0.0742597,,,,0.0773848,0.1072517,,,,,,,,,,,,,,,,,,,,,,,,,,,683365.25,2548932494.0,4.0,
2019-01-01 00:25:00,CT08,2019-01-01 00:25:49,0.0,12.0,1.0,,250.3425636,248.2423706,249.5370598,249.373998,432.4591827,430.0662613,433.2569275,431.9274572,0.3580543,0.0,0.0,,0.1193514,,,,49.941102,,,,1.306604,-0.0466972,-0.0196629,-0.0072756,-0.0736357,,,,0.076508,0.106193,,,,,,,,,,,,,,,,,,,,,,,,,,,683371.75,2548932494.0,4.0,
2019-01-01 00:30:00,CT08,2019-01-01 00:29:49,0.0,12.0,1.0,,250.2804667,248.3532003,249.608729,249.414132,432.4662272,430.2815552,433.2440898,431.9972907,0.3551292,0.0,0.0,,0.1183764,,,,49.9329389,,,,1.2944357,-0.0471698,-0.0205027,-0.007336,-0.0750085,,,,0.0753319,0.1063077,,,,,,,,,,,,,,,,,,,,,,,,,,,683377.6666667,2548932494.0,4.0,
2019-01-01 00:35:00,CT08,2019-01-01 00:35:09,0.0,12.0,1.0,,250.3599205,248.396122,249.7109337,249.4889921,432.5647507,430.423233,433.3914642,432.1264826,0.3574931,0.0,0.0,,0.1191644,,,,49.973443,,,,1.302977,-0.04665,-0.0201052,-0.0074987,-0.0742538,,,,0.0763825,0.1065273,,,,,,,,,,,,,,,,,,,,,,,,,,,683383.25,2548932494.0,4.0,
2019-01-01 00:40:00,CT08,2019-01-01 00:40:29,0.0,12.0,1.0,,250.5610046,248.4012985,249.8476181,249.6033071,432.6825256,430.4156265,433.876091,432.3247477,0.3623447,0.0,0.0,,0.1207816,,,,50.0132542,,,,1.3048695,-0.0479476,-0.0198678,-0.0067422,-0.0745577,,,,0.0770935,0.107252,,,,,,,,,,,,,,,,,,,,,,,,,,,683389.75,2548932494.0,4.0,
2019-01-01 00:45:00,CT08,2019-01-01 00:45:49,0.0,12.0,1.0,,250.578495,248.4392815,249.823204,249.6136602,432.8674545,430.4778595,433.6816635,432.3423258,0.3603341,0.0,0.0,,0.1201114,,,,50.0395861,,,,1.3041128,-0.0473253,-0.0204969,-0.0066899,-0.0745122,,,,0.0768934,0.1070803,,,,,,,,,,,,,,,,,,,,,,,,,,,683396.5,2548932494.0,4.0,
2019-01-01 00:50:00,CT08,2019-01-01 00:49:49,0.0,12.0,1.0,,250.7393748,248.8752645,250.1471761,249.9206051,433.2875468,431.2225952,434.1122437,432.8741286,0.3572544,0.0,0.0,,0.1190848,,,,49.999204,,,,1.303543,-0.046786,-0.0193894,-0.0079638,-0.0741392,,,,0.0763868,0.1064503,,,,,,,,,,,,,,,,,,,,,,,,,,,683402.3333333,2548932494.0,4.0,
2019-01-01 00:55:00,CT08,2019-01-01 00:54:42,0.0,12.0,1.0,,250.6832937,248.5279083,250.0378571,249.7496863,432.9513245,430.7427368,434.0408325,432.5782979,0.3591329,0.0,0.0,,0.119711,,,,50.0483716,,,,1.2997157,-0.047387,-0.0193568,-0.008352,-0.0750957,,,,0.0765473,0.1072336,,,,,,,,,,,,,,,,,,,,,,,,,,,683407.6666667,2548932494.0,4.0,
2019-01-01 01:00:00,CT08,2019-01-01 01:00:03,0.0,12.0,1.0,,250.2269173,248.1067467,249.4950027,249.2762222,432.3043289,429.9752579,432.9948273,431.758138,0.3597219,0.0,0.0,,0.1199073,,,,50.0234308,,,,1.303795,-0.047448,-0.0195044,-0.0072346,-0.0741871,,,,0.0764905,0.1065582,,,,,,,,,,,,,,,,,,,,,,,,,,,683414.25,2548932494.0,4.0,
