Tstamp,w2,w3,w4,w5,w6,w7,w8,Humidity_Min,Module_Temp1,Wind_Direction,Wind_Speed,Ambient_Temp,Module_Temp2_Actual,Humidity_Max,Humidity_Actual,Ambient_Temp_Min,Ambient_Temp_Max,Ambient_Temp_Avg,Global_Irradiation_Min,Irradiation_Tilt1_Actual,Irradiation_Tilt2_Actual,w1,Global_Irradiation_Max,Global_Irradiation_Avg,Wind_Speed_Min,Wind_Speed_Max,Humidity_Avg,Wind_Direction_Min,Wind_Direction_Max,Wind_Speed_Avg,Global_Irradiation_Actual,w33,Rain,Room_Temperature
2019-01-01 00:05:00,1.0,CT08,1.0,2019-01-01 00:05:01,0.0,6.0,3.0,,56.0950463,0.0,0.0,17.0541382,,,99.9969482,,,,,46.2493896,0.0,,,,,,,,,,,4.0,0.0,
2019-01-01 00:10:00,1.0,CT08,1.0,2019-01-01 00:10:21,0.0,12.5,3.0,,55.8170013,0.0,0.0,17.0877075,,,99.9969482,,,,,46.1578369,0.0,,,,,,,,,,,4.0,0.0,
2019-01-01 00:15:00,1.0,CT08,1.0,2019-01-01 00:15:13,0.0,13.6666667,3.0,,55.8971584,0.0,0.0,17.0912679,,,99.9969482,,,,,46.2646484,0.0,,,,,,,,,,,4.0,0.0,
2019-01-01 00:20:00,1.0,CT08,1.0,2019-01-01 00:20:33,0.0,2C,3.0,,55.2849585,0.0,0.0,17.1258545,,,99.9969482,,,,,45.7763672,0.0,,,,,,,,,,,4.0,0.0,
2019-01-01 00:25:00,1.0,CT08,1.0,2019-01-01 00:25:53,0.0,37.0,3.0,,54.7679452,0.0,0.0,17.1990967,,,99.9969482,,,,,45.8679199,0.0,,,,,,,,,,,4.0,0.0,
2019-01-01 00:30:00,1.0,CT08,1.0,2019-01-01 00:29:53,0.0,4A,3.0,,54.4833874,0.0,0.0,17.2387695,,,99.9969482,,,,,45.8374023,0.0,,,,,,,,,,,4.0,0.0,
2019-01-01 00:35:00,1.0,CT08,1.0,2019-01-01 00:35:13,0.0,4A,3.0,,54.8378322,0.0,0.0,17.2105408,,,99.9969482,,,,,45.9899902,0.0,,,,,,,,,,,4.0,0.0,
2019-01-01 00:40:00,1.0,CT08,1.0,2019-01-01 00:40:33,0.0,CF,3.0,,55.9244619,0.0,0.0,16.9900513,,,99.9969482,,,,,46.3104248,0.0,,,,,,,,,,,4.0,0.0,
2019-01-01 00:45:00,1.0,CT08,1.0,2019-01-01 00:45:53,0.0,8E,3.0,,57.0298786,0.0,0.0,16.7352295,,,99.9969482,,,,,47.2869873,0.0,,,,,,,,,,,4.0,0.0,
2019-01-01 00:50:00,1.0,CT08,1.0,2019-01-01 00:49:53,0.0,6B,3.0,,57.7878642,0.0,0.0,16.5755208,,,99.9969482,,,,,47.5870768,0.0,,,,,,,,,,,4.0,0.0,
2019-01-01 00:55:00,1.0,CT08,1.0,2019-01-01 00:54:46,0.0,1F,3.0,,58.1185123,0.0,0.0,16.4097087,,,99.9969482,,,,,48.055013,0.0,,,,,,,,,,,4.0,0.0,
