Tstamp	m2	m3	m4	m5	m6	m7	Voltage_R_Phase	Voltage_Y_Phase	Voltage_B_Phase	Average_Voltage	Voltage_R_Y	Voltage_Y_B	Voltage_B_R	Line_To_Line_Voltage_Average	Current_R	Current_Y	Current_B	Current_N	Average_Current	Frequency_R	Frequency_Y	Frequency_B	Average_Frequency	Power_Factor_R	Power_Factor_Y	Power_Factor_B	Average_Power_Factor	Active_Power_R	Active_Power_Y	Active_Power_B	Total_Power	Reactive_Power_R	Reactive_Power_Y	Reactive_Power_B	Total_Reactive_Power	Total_Apparent_Power	Active_Energy	Reactive_Energy	Apparent_Power_R	Apparent_Power_Y	Apparent_Power_B	Reactive_Energy2	Maximum_Active_Power	Minimum_Active_Power	Maximum_Reactive_Power	Minimum_Reactive_Power	Maximum_Apparent_Power	Wh_Received	VAh_Received	VARh_Inductive_Received	VARh_Capacitive_Received	Energy_Export1	VAh_Delivered	VARh_Ind_Delivered	VARh_Cap_Delivered	THD	Active_Total_Import	Active_Total_Export	Apparent_Import	Aparent_Export	Energy_Today	m1	Energy_Import	Energy_Export	m66	Total_KW_Avg
2018-12-08 00:00:00	CT08	2018-12-08 00:00:05	0.0	12.0	1.0	NA	247.8264618	245.4115295	247.0537872	246.7639262	427.7036133	425.3648071	429.152771	427.4070638	0.366749	0.0	0.0	NA	0.1222497	NA	NA	NA	50.1001816	NA	NA	NA	1.3012769	NULL	NULL	NULL	-0.075521	NA	NA	NA	0.0773227	0.1080843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	655176.0	2445762761.0	4.0	NA
2018-12-08 00:05:00	CT08	2018-12-08 00:05:24	0.0	12.0	1.0	NA	247.6843948	245.211895	246.9397469	246.6120122	427.447937	425.0885162	428.8959274	427.1441269	0.3638308	0.0	0.0	NA	0.1212769	NA	NA	NA	50.0873737	NA	NA	NA	1.3048897	-0.0470441	-0.0203192	-0.0069596	-0.074323	NA	NA	NA	0.0768585	0.1069208	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	655180.75	2445762761.0	4.0	NA
2018-12-08 00:10:00	CT08	2018-12-08 00:10:44	0.0	12.0	1.0	NA	247.831543	245.5006981	246.9742279	246.768823	427.9072723	425.3568344	428.9823685	427.4154917	0.3563349	0.0	0.0	NA	0.1187783	NA	NA	NA	50.0084133	NA	NA	NA	1.297749	-0.0465235	-0.0193778	-0.0081411	-0.0740424	NA	NA	NA	0.0750601	0.1054375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	655187.25	2445762761.0	4.0	NA
2018-12-08 00:15:00	CT08	2018-12-08 00:15:36	0.0	12.0	1.0	NA	247.7685089	245.4219615	246.8247579	246.6717428	427.8669128	425.1491292	428.7253723	427.2471381	0.3548478	0.0	0.0	NA	0.1182826	NA	NA	NA	50.0016441	NA	NA	NA	1.2905103	-0.0469748	-0.0190955	-0.0087488	-0.0748191	NA	NA	NA	0.0743165	0.1054577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	655193.3333333	2445762761.0	4.0	NA
2018-12-08 00:20:00	CT08	2018-12-08 00:20:56	0.0	12.0	1.0	NA	247.460083	245.261898	246.7791939	246.5003916	427.3661423	425.1444168	428.341835	426.950798	0.3555863	0.0	0.0	NA	0.1185288	NA	NA	NA	50.0380449	NA	NA	NA	1.2952363	-0.0460238	-0.020996	-0.0074893	-0.0745092	NA	NA	NA	0.0749942	0.1057175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	655199.75	2445762761.0	4.0	NA
2018-12-08 00:25:00	CT08	2018-12-08 00:24:55	0.0	12.0	1.0	NA	247.5098521	245.4243011	246.8149363	246.5830299	427.613383	425.258433	428.4098002	427.0938721	0.3564983	0.0	0.0	NA	0.1188328	NA	NA	NA	50.0024935	NA	NA	NA	1.29453	-0.0461751	-0.0214771	-0.0071892	-0.0748414	NA	NA	NA	0.0751898	0.1060899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	655205.6666667	2445762761.0	4.0	NA
2018-12-08 00:30:00	CT08	2018-12-08 00:30:16	0.0	12.0	1.0	NA	247.7283745	245.444355	246.9111366	246.694622	427.7712097	425.2880402	428.8010712	427.2867737	0.3606697	0.0	0.0	NA	0.1202232	NA	NA	NA	50.0243444	NA	NA	NA	1.3074592	-0.046482	-0.0204118	-0.0063671	-0.0732609	NA	NA	NA	0.0763045	0.1057822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	655211.5	2445762761.0	4.0	NA
2018-12-08 00:35:00	CT08	2018-12-08 00:35:35	0.0	12.0	1.0	NA	247.7763367	245.5385017	246.9266739	246.7471708	427.8991394	425.3961563	428.8387985	427.3780314	0.3615664	0.0	0.0	NA	0.1205221	NA	NA	NA	50.003603	NA	NA	NA	1.3096772	-0.046318	-0.0202746	-0.0065686	-0.0731611	NA	NA	NA	0.0766811	0.1059869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	655217.75	2445762761.0	4.0	NA
2018-12-08 00:40:00	CT08	2018-12-08 00:40:55	0.0	12.0	1.0	NA	247.3418732	245.132206	246.4285507	246.3008766	427.2408295	424.6127243	427.9610825	426.6048787	0.3644744	0.0	0.0	NA	0.1214915	NA	NA	NA	49.9704428	NA	NA	NA	1.3014695	-0.0468855	-0.0212	-0.0070789	-0.0751644	NA	NA	NA	0.0769975	0.1076028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	655224.5	2445762761.0	4.0	NA
2018-12-08 00:45:00	CT08	2018-12-08 00:44:54	0.0	12.0	1.0	NA	247.130132	245.0365651	246.3713226	246.1793399	426.9688314	424.4824117	427.7313538	426.3941989	0.3646708	0.0	0.0	NA	0.1215569	NA	NA	NA	49.9432284	NA	NA	NA	1.3005724	-0.047254	-0.0204634	-0.0073758	-0.0750931	NA	NA	NA	0.076733	0.107365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	655230.3333333	2445762761.0	4.0	NA
